variable,ChatGPT,Published,Student,r.squared,p.value,direction
f_17_agentless_passives,-0.5589275216614761,0.7805187143839921,-0.2215911927225152,0.3246528744703903,4.839135409667502e-26,expert
f_01_past_tense,-0.5455003834845751,0.6783950082627641,-0.13289462477818778,0.25934830665972786,4.341921665981026e-20,expert
f_05_time_adverbials,-0.4163916711576742,0.46982734881949306,-0.05343567766181876,0.13276760306201096,6.503104843046335e-10,expert
f_19_be_main_verb,-0.756753679339217,-0.17407903884430306,0.9308327181835202,0.49144789036766406,2.459324553495406e-44,novice
f_03_present_tense,-0.5755315505593498,-0.2328067436329085,0.808338294192253,0.3474402486380747,2.9587764131629013e-28,novice
f_49_emphatics,-0.5065092789074972,-0.2670953392183859,0.7736046181258842,0.3098179515174819,1.2192798250780487e-24,novice
f_08_third_person_pronouns,-0.4336495178020636,-0.2798097663140471,0.7134592841161084,0.25932092297864806,4.3658256872616774e-20,novice
f_65_clausal_coordination,-0.47672731366310755,-0.11025158306927456,0.5869788967323817,0.19530721350196942,9.684363181195867e-15,novice
f_23_wh_clause,-0.3226779198627574,-0.21076454448791737,0.5334424643506749,0.1448507009875169,8.095220684338322e-11,novice
f_37_if,-0.31498680637827736,-0.11702577968905739,0.4320125860673354,0.10018280796816216,1.5556488060422568e-7,novice
